#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Adak,Aleutians,44,1,2400,0.0275166667,66.04,9,2103.9722222222,0.1203594636,0,0,0.3206591027,0,0,10955.0576242502,72860.9972771753,43,3491.6626206715,25301.9030483445,0.3472626507
Akhiok,Kodiak,19,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,3661.0567359294,23712.4401154303,19,946.6906733683,6860.0773432485,0.2893028853
Akiachak,Lower Yukon-Kuskokwim,150,0,0,0,0,55,770.8727272727,0.1767816779,31,714.5161290323,0.3872825362,0.1154782003,2557.8421368477,18774.7068665799,113809.470047681,119,6280.5085011499,45510.9311677527,0.3998870318
Akiak,Lower Yukon-Kuskokwim,90,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,15686.6742832011,100328.07451595,90,5234.6168604905,37932.006235438,0.3780796793
Akutan,Aleutians,40,0,0,0,0,23,940.9891304348,0.0975546335,7,863.8214285714,0.3206591027,0.0647431551,391.4856728794,3420.8147140493,18858.0776380381,33,971.3819321232,7038.999508139,0.3732617737
Alakanuk,Lower Yukon-Kuskokwim,160,0,0,0,0,63,748.873015873,0.2210334547,48,766.0208333333,0.4649618407,0.1077175922,3960.6681489807,22499.5790096256,139318.688475548,112,8619.8861174493,62462.9428800671,0.4483457572
Alatna,Yukon-Koyukuk/Upper Tanana,12,3,1285.3333333333,0.0590064077,227.5287081618,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,2716.6805308051,17906.960368153,9,812.4706294106,5887.4683290624,0.3287809996
Alcan Border,Yukon-Koyukuk/Upper Tanana,16,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,4425.1587958104,29694.1941725393,16,1444.3922300633,10466.6103627775,0.352480027
Aleknagik,Bristol Bay,71,0,0,0,0,40,1036.68075,0.1328891737,29,922.0079310345,0.2473780829,0.0966728289,2584.8603341057,8370.9335595267,50132.4170980193,42,1431.3477018591,10372.0847960803,0.2068937705
Aleneva,Kodiak,9,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,1734.1847696508,11232.2084757301,9,448.4324242271,3249.5103204861,0.2893028853
Allakaket,Yukon-Koyukuk/Upper Tanana,44,5,1405.6,0.061968416,435.5140276788,4,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,11221.8385924667,74794.1926990341,39,3520.7060607793,25512.3627592702,0.3411008507
Ambler,Northwest Arctic,75,1,1520,0.0702960526,106.85,0,1150.5043326039,0.2081087086,0,0,0.3314395025,0,0,17824.667845617,118044.694533456,74,5872.3847329774,42553.5125578068,0.3604864473
Anaktuvuk Pass,North Slope,99,13,1470.7692307692,0.1283491941,2454.036592016,28,1196.395,0.1463730339,16,1213.06625,0.1742468504,0.1354885135,2629.7046884638,17342.1388892968,110989.84702389,70,2135.987174825,15478.1679335141,0.1394557101
Anderson,Railbelt,90,4,1722,0.1087746889,749.2400568182,13,1747.5136673929,0.1810622083,8,1707.5,0.2301575703,0.1323814928,1808.3311922934,27237.448571911,184029.337477616,78,5680.2605999913,41161.3086955889,0.2236671025
Angoon,Southeast,167,0,0,0,0,98,1295.5714285714,0.1142968928,70,1266.6714285714,0.1519561665,0.0924084198,8193.5773563057,22557.3168574512,138699.252590226,97,2182.6587914857,15816.3680542439,0.1140335493
Aniak,Lower Yukon-Kuskokwim,166,5,1776.4,0.095113232,844.7957267374,33,1247.1481818182,0.1673965856,8,930.73625,0.3336983204,0.1169929857,871.1169025714,33657.4697812496,219283.404211954,153,10658.8439715948,77237.9997941651,0.3522291168
Anvik,Yukon-Koyukuk/Upper Tanana,33,2,1312,0.0575190549,150.93,3,1121.8146232877,0.2465402206,1,760.75,0.3264046098,0.1240726527,94.3882705179,8542.4910126624,57009.5000917564,30,2708.2354313687,19624.8944302078,0.3442390198
Arctic Village,Yukon-Koyukuk/Upper Tanana,65,0,0,0,0,2,1121.8146232877,0.2465402206,2,420,0.3264046098,0.4831068182,405.8097272727,17829.8724857763,119565.018012871,63,5687.2944058742,41212.2783034364,0.3446850842
Atka,Aleutians,24,3,982,0.0708875792,208.8348082452,28,976.2142857143,0.0842857928,6,976.3333333333,0.3206591027,0.0612315836,358.694616639,1801.7443501886,9497.8576100619,15,395.7622504865,2867.8423948295,0.3019462401
Atmautluak,Lower Yukon-Kuskokwim,63,0,0,0,0,1,1045.957275886,0.1666381457,1,768,0.3336983204,0.0677604167,52.04,10858.4156173163,69343.7363573645,62,3606.0693927823,26130.9376288573,0.3768319823
