,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Adak,Aleutians,44,10,2133.575,0.1545145847,3296.6845498939,10,2133.575,0.1545145847,0,0,0.3206591027,0,0,14505.412019533,98588.2030400939,34,3594.1804928182,26044.7861798417,0.2641775119
Akhiok,Kodiak,19,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,3661.0567359294,23712.4401154303,19,946.6906733683,6860.0773432485,0.2893028853
Akiachak,Lower Yukon-Kuskokwim,150,55,770.8727272727,0.1767816779,7495.1895809687,55,770.8727272727,0.1767816779,31,714.5161290323,0.3872825362,0.1154782003,2557.8421368477,18774.7068665799,113809.470047681,64,3377.7524712067,24476.4671826569,0.2150652944
Akiak,Lower Yukon-Kuskokwim,90,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,15686.6742832011,100328.07451595,90,5234.6168604905,37932.006235438,0.3780796793
Akutan,Aleutians,40,23,940.9891304348,0.0975546335,2111.3505438457,23,940.9891304348,0.0975546335,7,863.8214285714,0.3206591027,0.0647431551,391.4856728794,3420.8147140493,18858.0776380381,10,294.3581612495,2133.0301539815,0.1131096284
Alakanuk,Lower Yukon-Kuskokwim,160,63,748.873015873,0.2210334547,10428.1373591127,63,748.873015873,0.2210334547,48,766.0208333333,0.4649618407,0.1077175922,3960.6681489807,22499.5790096256,139318.688475548,49,3771.2001763841,27327.5375100294,0.1961512688
Alatna,Yukon-Koyukuk/Upper Tanana,12,3,1285.3333333333,0.0590064077,227.5287081618,3,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,2716.6805308051,17906.960368153,9,812.4706294106,5887.4683290624,0.3287809996
Alcan Border,Yukon-Koyukuk/Upper Tanana,16,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,4425.1587958104,29694.1941725393,16,1444.3922300633,10466.6103627775,0.352480027
Aleknagik,Bristol Bay,71,40,1036.68075,0.1328891737,5510.5459289724,40,1036.68075,0.1328891737,29,922.0079310345,0.2473780829,0.0966728289,2584.8603341057,8370.9335595267,50132.4170980193,2,68.1594143742,493.9087998133,0.0098520843
Aleneva,Kodiak,9,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,1734.1847696508,11232.2084757301,9,448.4324242271,3249.5103204861,0.2893028853
Allakaket,Yukon-Koyukuk/Upper Tanana,44,9,1181.7777777778,0.1326854883,1411.2428537204,9,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,11091.2777195557,73848.0994170702,35,3159.6080032635,22895.7101685758,0.3100379069
Ambler,Northwest Arctic,75,1,1520,0.0702960526,106.85,1,1150.5043326039,0.2081087086,0,0,0.3314395025,0,0,17824.667845617,118044.694533456,74,5872.3847329774,42553.5125578068,0.3604864473
Anaktuvuk Pass,North Slope,99,41,1283.3917073171,0.1406581578,7401.3000473735,41,1283.3917073171,0.1406581578,16,1213.06625,0.1742468504,0.1354885135,2629.7046884638,17612.8242965614,112951.335482329,42,1321.1081790898,9573.247674564,0.0847555067
